species,AVG SVL,AVG hl,AVG hw,AVG hh,AVG ljl,AVG outlever,AVG jugal to symphysis,AVG femur,AVG tibia,AVG met,AVG ltoe IV,AVG toe IV lam width,AVG humerus,AVG radius,AVG lfing IV,AVG fing IV lam width,AVG pelv ht,AVG pelv wd,Foot Lam num,Hand Lam num,Avg lnSVL2,Avg ln t1
confusus,3.938442349,2.758381128,2.233235015,1.992365228,2.743876883,2.64850238,2.442967961,2.571411946,2.505059356,2.061968342,2.320144309,0.225426657,2.292390447,2.137373466,1.744717776,-0.010050336,1.939563521,1.638996715,3.458995347,2.85607671,3.873583693,4.36063812
cooki,4.091535064,2.930215496,2.368840889,2.153698312,2.929503436,2.831348862,2.601207105,2.737609003,2.666649335,2.224803715,2.436241478,0.467918123,2.427306962,2.261242129,1.856818688,0.270027137,2.026392321,1.720084433,3.484198898,3.01479431,4.103699634,4.902075853
cristatellus,4.189820018,3.024496409,2.558846859,2.322476843,3.027715319,2.931775401,2.703798752,2.761504795,2.770256459,2.296658474,2.599384566,0.647103242,2.585505848,2.376088987,2.027071112,0.530093349,2.197325582,1.972311785,3.519205893,3.080457119,4.192626137,4.764912061
cupeyalensis,3.462013706,2.312205336,1.537583809,1.374840122,2.282495758,2.189665213,1.99182392,1.975931165,1.956331845,1.460937904,1.65653352,-0.53828247,1.596014892,1.345472367,0.956365781,-0.83881542,1.184110175,0.822712385,3.192988894,2.56376241,3.48145653,4.542221846
cuvieri,4.875011919,3.789080253,3.189064419,3.08269603,3.767162373,3.692729177,3.48387398,3.576790001,3.394172767,2.890927159,3.238062016,1.283707772,3.246602159,3.058707073,2.725422239,1.203401212,2.850541335,2.426823439,3.796835968,3.393241208,4.874786628,5.657846327
cyanopleurus,3.630161001,2.466780394,1.688454453,1.512927012,2.459113895,2.361482734,2.16485442,2.289499853,2.255959252,1.746490875,2.019485099,-0.262808808,1.798404012,1.581952515,1.299585969,-0.499775788,1.364673415,0.973720714,3.257229847,2.720067035,3.596633266,4.715661915
cybotes,4.210982161,3.160437448,2.669750276,2.472481289,3.137547443,3.030177617,2.80589161,2.879351663,2.820133523,2.346862927,2.650870397,0.559615788,2.642881178,2.44479463,2.035418406,0.424673382,2.219598663,1.901971832,3.463371279,2.910825623,4.186364819,4.833413805
darlingtoni,4.302036009,3.212857753,2.480731278,2.298577072,3.208017082,3.137665769,2.938103161,2.713369363,2.415913778,2.018895042,2.427454075,0.336472237,2.447550863,2.2782924,1.925707442,0.246860078,2.122261539,1.809926773,3.610917913,3.135494216,4.302036009,4.49980967
distichus,3.928795837,2.715073102,2.248882884,1.936272014,2.696363125,2.600889124,2.412591941,2.549445171,2.52801175,1.961100315,2.301298551,0.397816887,2.43022416,2.237665547,1.80194551,0.194156014,1.783151095,1.707083026,3.409004922,3.035568849,3.907890934,4.319202676
dolichocephalus,3.908550316,2.888239857,1.946862077,1.731360516,2.888147063,2.816206804,2.660609127,2.486571929,2.475978019,2.02331201,2.267475916,-0.068992871,2.063481522,1.759580571,1.494027061,-0.250600398,1.564091811,1.226712291,3.582996877,2.943514337,3.906738664,4.877271344
equestris,5.113993807,3.976561527,3.405659633,3.253406068,3.973807738,3.899511731,3.678829118,3.60631273,3.477232068,2.990635976,3.30953886,1.561647249,3.434820191,3.158205369,2.821031604,1.395625689,3.031340701,2.661133281,4.107408455,3.722621202,5.133421125,5.769012568
etheridgei,3.657990601,2.506070007,1.947337701,1.792314871,2.486571929,2.395164274,2.196483562,2.48532323,2.423622088,1.908059925,2.278975227,-0.283247475,1.932245787,1.85159947,1.552514765,-0.30788478,1.558495434,1.268823777,3.323595168,2.760437594,3.662193528,4.520638122
eugenegrahami,4.128504414,2.817801065,2.183238335,2.000804096,2.813010637,2.731115474,2.541208215,2.858766418,2.821676461,2.335052283,2.684781574,0.565313809,2.569171202,2.463853241,2.089391873,0.3074847,1.911762262,1.720979287,3.688629376,3.225731931,4.108192514,4.843411484
evermanni,4.165605231,3.008154794,2.418588769,2.114044236,2.99781344,2.899221373,2.692146629,2.701025586,2.676903472,2.219203484,2.613373154,0.615185639,2.571339156,2.33198207,2.015569465,0.480366416,1.967578449,1.892860928,3.763014327,3.313103675,4.164297079,4.766384737
