species,AVG SVL,AVG hl,AVG hw,AVG hh,AVG ljl,AVG outlever,AVG jugal to symphysis,AVG femur,AVG tibia,AVG met,AVG ltoe IV,AVG toe IV lam width,AVG humerus,AVG radius,AVG lfing IV,AVG fing IV lam width,AVG pelv ht,AVG pelv wd,Foot Lam num,Hand Lam num,Avg lnSVL2,Avg ln t1
macilentus,3.715764783,2.507157259,1.677096561,1.463255402,2.48740353,2.405141681,2.246014742,2.364620484,2.291524146,1.764730797,1.909542505,-0.356674944,1.809926773,1.637053079,1.252762968,-0.891598119,1.289232648,1.01523068,3.326893315,2.706936614,3.612348924,4.578309516
marcanoi,4.079484699,2.98855659,2.514384543,2.295560478,2.999425445,2.90761119,2.677109778,2.736572868,2.666046954,2.203427521,2.518985963,0.38865799,2.445385892,2.287471455,1.901062204,0.207014169,2.007811267,1.762502288,3.507571766,2.938265847,4.084668357,4.819901623
marron,3.831810283,2.662634338,2.143823801,1.869646008,2.616811721,2.526048593,2.344686269,2.464703942,2.401343865,1.826482905,2.143120318,0.153579088,2.250449339,2.152227211,1.662409797,0.035367144,1.727043155,1.615022291,3.338199754,2.921084281,3.836438228,4.294477779
mestrei,3.987147344,2.789043506,2.219697433,2.016477538,2.763284206,2.673897834,2.465322181,2.671386217,2.600734914,2.098464007,2.371347635,0.301450488,2.379966921,2.203266892,1.785527973,0.14606614,1.863516195,1.652845652,3.407310655,2.89939394,3.997360846,4.522961328
monticola,3.770613039,2.61601613,1.950660752,1.811017286,2.594176182,2.508514664,2.302585093,2.589850412,2.499795262,2.063058062,2.325976046,-0.082174608,2.063199236,1.92942582,1.642872689,-0.220369624,1.656745497,1.3214595,3.373122622,2.85607671,3.727240147,4.676742372
noblei,5.083472618,3.989724513,3.452524009,3.342626206,3.98353714,3.902982261,3.687962367,3.656097965,3.479392229,2.997397553,3.314549575,1.637053079,3.424696871,3.154443965,2.832428723,1.44141366,3.008319389,2.667459661,4.206853694,3.745706684,5.085687499,5.815034148
occultus,3.663048694,2.52932218,1.613429934,1.52714267,2.48532323,2.405141681,2.239645293,1.896869954,1.608437412,1.091084022,1.457451555,-0.238891908,1.723212927,1.365453695,0.972671065,-0.346017649,1.179423931,1.137833002,3.225435854,2.757224588,3.659787491,3.645928375
olssoni,3.79389884,2.537318366,1.782910912,1.642043386,2.534886582,2.446747278,2.21881521,2.368105275,2.329366116,1.934518985,2.275140483,-0.127833372,1.981690886,1.715084102,1.406096988,-0.406894701,1.541770692,1.22524494,3.444804809,2.680453053,3.773244688,4.917505883
opalinus,3.838376465,2.675251489,2.111666689,1.807960849,2.654649424,2.5690946,2.367436065,2.378434405,2.326496913,1.880990603,2.25800605,0.234281296,2.210469804,1.979344925,1.673726402,0.056380333,1.602211867,1.488850949,3.544382894,3.036012386,3.830887647,4.40854112
ophiolepis,3.637962029,2.435991478,1.802181165,1.642319897,2.414637454,2.301584593,2.089038203,2.067947162,2.032275059,1.642872689,1.986895396,-0.371063681,1.907847948,1.579861967,1.279345283,-0.645718487,1.543908424,1.229640551,3.176312573,2.612739118,3.533528664,4.396041771
oporinus,3.845669505,2.716679528,2.123458427,1.888583654,2.747911735,2.672077541,2.4765384,2.186051277,2.006870849,1.437462648,1.74745921,0.067658648,2.060513532,1.795087259,1.366091654,-0.116533816,1.675225653,1.517322624,3.481240089,3.044522438,3.845669505,4.143134726
